ref;auteur;heros;titre;serie;prixPublic;prixEditeur;genre;refEdit;editeur;refFournisseur;fournisseur;resume;;
BD000038;GOSCINNY / UDERZO;OUMPAH PAH;OUMPAH PAH LE PEAU ROUGE - T1;;8.99;8.54;HUMOUR;5030564;ALBERT RENE;9782864970934;HACHETTE;Né en 1951 de l'imagination délirante de René Goscinny et d'Albert Uderzo, Oumpah Pah et son complice Hubert de la Pâte Feuilletée nous entraînent dans de folles aventures dignes des meilleurs épisodes de la série Astérix. Cependant ce n'est qu'en 1958 que les lecteurs du journal Tintin découvriront, les premiers, notre sympathique héros. Comme pour Jehan Pistolet, l'histoire se déroule au XVIIIème siècle et met en confrontation la tribu des Shavashavas et les premiers européens qui découvrent le Nouveau Monde.;;
BD000039;GOSCINNY / UDERZO;OUMPAH PAH;OUMPAH PAH SUR LE SENTIER DE LA GUERRE - ET LES PIRATES - T2;;8.99;8.54;HUMOUR;5030572;ALBERT RENE;9782864970941;HACHETTE;Né en 1951 de l'imagination délirante de René Goscinny et d'Albert Uderzo, Oumpah Pah et son complice Hubert de la Pâte Feuilletée nous entraînent dans de folles aventures dignes des meilleurs épisodes de la série Astérix. Cependant ce n'est qu'en 1958 que les lecteurs du journal Tintin découvriront, les premiers, notre sympathique héros. Comme pour Jehan Pistolet, l'histoire se déroule au XVIIIème siècle et met en confrontation la tribu des Shavashavas et les premiers européens qui découvrent le Nouveau Monde.;;
BD000040;GOSCINNY / UDERZO;OUMPAH PAH;OUMPAH PAH - LA MISSION SECRETE - CONTRE FOIE MALADE - T3;;8.99;8.54;HUMOUR;5030580;ALBERT RENE;9782864970958;HACHETTE;Né en 1951 de l'imagination délirante de René Goscinny et d'Albert Uderzo, Oumpah Pah et son complice Hubert de la Pâte Feuilletée nous entraînent dans de folles aventures dignes des meilleurs épisodes de la série Astérix. Cependant ce n'est qu'en 1958 que les lecteurs du journal Tintin découvriront, les premiers, notre sympathique héros. Comme pour Jehan Pistolet, l'histoire se déroule au XVIIIème siècle et met en confrontation la tribu des Shavashavas et les premiers européens qui découvrent le Nouveau Monde.;;
BD000041;GOSCINNY / UDERZO;JEHAN PISTOLET;CORSAIRE PRODIGIEUX - T1;;8.23;7.82;HUMOUR;5030622;ALBERT RENE;9782864971214;HACHETTE;Editées pour la première fois en 1952, dans la Libre Junior, les aventures de Jehan Pistolet représentent l'oeuvre de jeunesse de René Goscinny et d'Albert Uderzo. Elles préfigurent déjà, 7 ans avant Astérix, l'humour caractéristique de nos deux auteurs. Les deux séries cohabiteront d'ailleurs en 1960 dans le magazine Pilote. L'histoire se déroule au XVIIIème siècle où un groupe d'amis décide de se lancer dans l'Aventure en devenant corsaires. Humour et action sont au rendez-vous tout au long de ces albums.;;
BD000042;GOSCINNY / UDERZO;JEHAN PISTOLET;CORSAIRE DU ROY - T2;;8.23;7.82;HUMOUR;5030630;ALBERT RENE;9782864971207;HACHETTE;Editées pour la première fois en 1952, dans la Libre Junior, les aventures de Jehan Pistolet représentent l'oeuvre de jeunesse de René Goscinny et d'Albert Uderzo. Elles préfigurent déjà, 7 ans avant Astérix, l'humour caractéristique de nos deux auteurs. Les deux séries cohabiteront d'ailleurs en 1960 dans le magazine Pilote. L'histoire se déroule au XVIIIème siècle où un groupe d'amis décide de se lancer dans l'Aventure en devenant corsaires. Humour et action sont au rendez-vous tout au long de ces albums.;;
BD000043;GOSCINNY / UDERZO;JEHAN PISTOLET;JEHAN PISTOLET ET L'ESPION - T3;;8.23;7.82;HUMOUR;5030648;ALBERT RENE;9782864971269;HACHETTE;Editées pour la première fois en 1952, dans la Libre Junior, les aventures de Jehan Pistolet représentent l'oeuvre de jeunesse de René Goscinny et d'Albert Uderzo. Elles préfigurent déjà, 7 ans avant Astérix, l'humour caractéristique de nos deux auteurs. Les deux séries cohabiteront d'ailleurs en 1960 dans le magazine Pilote. L'histoire se déroule au XVIIIème siècle où un groupe d'amis décide de se lancer dans l'Aventure en devenant corsaires. Humour et action sont au rendez-vous tout au long de ces albums.;;
BD000044;ABULI / OSWAL;;SOMBRES DESTINS;;12.04;11.44;;6052260;ALBIN MICHEL;9782226095930;HACHETTE;;;
BD000045;ABULI / BERNET;SNAKE;SNAKE DOUBLE PAIRE;;10.52;9.99;HUMOUR;6052427;ALBIN MICHEL;9782226106292;HACHETTE;;;
BD000046;ADAMS;DILBERT;LES MISERES DE LA VIE DE BUREAU - T1;;12.04;11.44;HUMOUR;6052237;ALBIN MICHEL;9782226095527;HACHETTE;;;
BD000047;ADAMS;DILBERT;BIENVENUE DANS LE MONDE MERVEILLEUX DE L'INFORMATIQUE - T2;;12.04;11.44;HUMOUR;6052294;ALBIN MICHEL;9782226099549;HACHETTE;;;
BD000048;ADAMS;DILBERT;COMMENT DEVENIR CHEF A LA PLACE DU CHEF - T3;;12.04;11.44;HUMOUR;6052377;ALBIN MICHEL;9782226104526;HACHETTE;;;
BD000049;ADAMS;DILBERT;LES NOUVELLES MISERES DE LA VIE DE BUREAU - T4;;12.04;11.44;HUMOUR;6052500;ALBIN MICHEL;9782226106841;HACHETTE;;;
BD000050;ADAMS;DILBERT;Y A-T-IL UNE VIE APRES LE BUREAU - T5;;12.04;11.44;HUMOUR;6052609;ALBIN MICHEL;9782226107497;HACHETTE;;;
BD000051;AMOURIQ;PETASSINE;LE PETIT MONDE DE PETASSINE;;12.04;11.44;EROTIQUE;6051403;ALBIN MICHEL;9782226056757;HACHETTE;POUR ADULTES;;
BD000052;ARNON;LES FURIES;LES FURIES;;11.89;11.3;HUMOUR;6051932;ALBIN MICHEL;9782226079411;HACHETTE;Femmes fatales et pirates sanguinaires, îles désertes et fabuleux trésor, odeurs de poudre, de sexe et de bagarre... Avec ARNON et ses Furies, vivez la plus fabuleuse légende de tous les temps : la grande piraterie sous le soleil des Caraïbes... Mais assez perdu de temps : à l'abordage !;;
BD000053;ARNON;COEURS DE SILEX;NEANDERTHAL GIRLS;;11.89;11.3;HUMOUR;6052161;ALBIN MICHEL;9782226094674;HACHETTE;;;
BD000054;AUTHEMAN;;QU'EST CE QU'ELLES ONT LES FILLES;;8.99;8.54;HUMOUR;6051429;ALBIN MICHEL;9782226056771;HACHETTE;Gisèle, Olga, Elvire, Paméla... Elles sont toutes super, mais quelles embrouilles en perspective !;;
BD000055;AUTHEMAN;;DERANGEZ PAS MEME;;9.91;9.41;HUMOUR;6051759;ALBIN MICHEL;9782226076137;HACHETTE;AUTHEMAN poursuit l'exploration de l'éternel féminin. Décapant !;;
BD000056;AUTHEMAN;;L'OMBRE DE MOI MEME;;12.04;11.44;HUMOUR;6055164;ALBIN MICHEL;9782226107527;HACHETTE;Suite de situations insolites et amusantes, puisque le héros de ce recueil est perpetuellement suivi par son ombre !;;
BD000057;BARU;;COURS CAMARADE;;8.69;8.26;HUMOUR;6051049;ALBIN MICHEL;9782226031686;HACHETTE;;;
BD000058;BARU;;LA PISCINE DE MICHEVILLE;;10.52;9.99;HUMOUR;6051643;ALBIN MICHEL;9782226065636;HACHETTE;;;
BD000059;BERCOVICI / JAGER;ET DIEU CREA EVE;ET DIEU CREA EVE AH OUI ADAM AUSSI;;10.52;9.99;HUMOUR;6052179;ALBIN MICHEL;9782226094681;HACHETTE;;;
BD000060;BOOGAARD / SCHIPPERS;LEON LA TERREUR;LEON LA TERREUR;;7.93;7.53;HUMOUR;6003602;ALBIN MICHEL;9782226016744;HACHETTE;;;
BD000061;BOOGAARD / SCHIPPERS;LEON LA TERREUR;LEON LA TERREUR S'EN BALANCE;;7.93;7.53;HUMOUR;6050934;ALBIN MICHEL;9782226025845;HACHETTE;;;
BD000062;BOOGAARD / SCHIPPERS;LEON LA TERREUR;LEON LA TERREUR FAIT DES VAGUES;;7.93;7.1;HUMOUR;6051031;ALBIN MICHEL;9782226031730;HACHETTE;;;
BD000063;BOOGAARD / SCHIPPERS;LEON LA TERREUR;LEON LA TERREUR CASSE LA BARAQUE;;8.69;8.26;HUMOUR;6051304;ALBIN MICHEL;9782226048875;HACHETTE;;;
BD000064;BOOGAARD / SCHIPPERS;LEON LA TERREUR;LE MEILLEUR DE LEON LA TERREUR - BEST OF;;28.97;27.52;HUMOUR;6051940;ALBIN MICHEL;9782226085153;HACHETTE;;;
BD000065;CABANES;;LES ANNEES PATTES D'EPH;;10.52;9.99;HUMOUR;6051528;ALBIN MICHEL;9782226060013;HACHETTE;;;
BD000066;CABANES;;BOUQUET DE FLIRTS;;11.43;10.86;HUMOUR;6051924;ALBIN MICHEL;9782226085504;HACHETTE;;;
BD000067;CABU;;LE GROS BLOND AVEC SA CHEMISE NOIRE;;8.69;8.26;HUMOUR;6017222;ALBIN MICHEL;9782226031679;HACHETTE;;;
BD000068;CABU;;TONTON ACCRO;;8.69;8.26;HUMOUR;6017420;ALBIN MICHEL;9782226031709;HACHETTE;;;
BD000069;CABU;;A CONSOMMER AVEC MODERATION;;8.69;8.26;HUMOUR;6018964;ALBIN MICHEL;9782226035547;HACHETTE;;;
BD000070;CABU;;CABU AU CANARD ENCHAINE;;10.52;9.99;HUMOUR;6019624;ALBIN MICHEL;9782226035721;HACHETTE;;;
BD000071;CABU;;MORT AUX VIEUX;;8.69;8.26;HUMOUR;6019673;ALBIN MICHEL;9782226035745;HACHETTE;;;
BD000072;CABU;;LES INTERDITS DE CABU;;12.2;11.59;HUMOUR;6020796;ALBIN MICHEL;9782226037398;HACHETTE;;;
